FIPS,County,State,Name,Lat,Long,POPESTIMATE2019,NPOPCHG_2019,BIRTHS2019,DEATHS2019,NATURALINC2019,INTERNATIONALMIG2019,DOMESTICMIG2019,NETMIG2019,CommutingIn,TotEmp,QPayroll,APayroll,Establishments,Income,GDP,Rural.urban_Continuum.Code_2013,Urban_Influence_Code_2013,Economic_typology_2015,Less.than.a.high.school.diploma.2014.18,High.school.diploma.only.2014.18,Some.college.or.associate.s.degree.2014.18,Bachelor.s.degree.or.higher.2014.18,Percent.of.adults.with.less.than.a.high.school.diploma.2014.18,Percent.of.adults.with.a.high.school.diploma.only.2014.18,Percent.of.adults.completing.some.college.or.associate.s.degree.2014.18,Percent.of.adults.with.a.bachelor.s.degree.or.higher.2014.18,POVALL_2018,MEDHHINC_2018,Density.per.square.mile.of.land.area...Population,Density.per.square.mile.of.land.area...Housing.units,Total_Male,Total_Female,Total_age18to64,Male_age18to64,Female_age18to64,Total_age65plus,Male_age65plus,Female_age65plus,Total_age85plusr,Male_age85plusr,Female_age85plusr,Active.Physicians.per.100000.Population.2018..AAMC.,Total.Active.Patient.Care.Physicians.per.100000.Population.2018..AAMC.,Active.Primary.Care.Physicians.per.100000.Population.2018..AAMC.,Active.General.Surgeons.per.100000.Population.2018..AAMC.,Active.Patient.Care.General.Surgeons.per.100000.Population.2018..AAMC.,Fraction.of.Active.Physicians.Who.Are.Female.2018..AAMC.,Fraction.of.Active.Physicians.Who.Are.International.Medical.Graduates..IMGs..2018..AAMC.,Fraction.of.Active.Physicians.Who.Are.Age.60.or.Older.2018..AAMC.,Anatomic.Clinical.Pathology..AAMC.,Anesthesiology..AAMC.,Cardiovascular.Disease..AAMC.,Dermatology..AAMC.,Emergency.Medicine..AAMC.,Family.Medicine.General.Practice..AAMC.,Gastroenterology..AAMC.,General.Surgery..AAMC.,Hematology...Oncology..AAMC.,Internal.Medicine..AAMC.,Neurology..AAMC.,Orthopedic.Surgery..AAMC.,Otolaryngology..AAMC.,Pediatrics....AAMC.,Plastic.Surgery..AAMC.,Psychiatry..AAMC.,Radiology...Diagnostic.Radiology..AAMC.,Total.nurse.practitioners..2019.,Total.physician.assistants..2019.,Total.Hospitals..2019.,Internal.Medicine.Primary.Care..2019.,Family.Medicine.General.Practice.Primary.Care..2019.,Pediatrics.Primary.Care..2019.,Obstetrics...Gynecology.Primary.Care..2019.,Geriatrics.Primary.Care..2019.,Total.Primary.Care.Physicians..2019.,Psychiatry.specialists..2019.,Surgery.specialists..2019.,Anesthesiology.specialists..2019.,Emergency.Medicine.specialists..2019.,Radiology.specialists..2019.,Cardiology.specialists..2019.,Oncology..Cancer..specialists..2019.,Endocrinology.Diabetes.and.Metabolism.specialists..2019.,All.Other.Specialties.specialists..2019.,Total.Specialist.Physicians..2019.,ICU.Beds,Total.number.of.UCR..Uniform.Crime.Report..Index.crimes.excluding.arson.,Total.number.of.UCR..Uniform.Crime.Report..index.crimes.reported.including.arson,MURDER,RAPE,ROBBERY,Number.of.AGGRAVATED.ASSAULTS,BURGLRY,LARCENY,MOTOR.VEHICLE.THEFTS,ARSON,percent_smokers,percent_physically_inactive,percent_excessive_drinking,percent_adults_with_obesity,percent_vaccinated,Severity,Lethality,CaseFatality,case_Day30,case_Day60,death_Day30,death_Day60,Rate_case_Day30,Rate_case_Day60,Rate_death_Day30,Rate_death_Day60,Rate_fatality_Day30,Rate_fatality_Day60
45001,Abbeville,South Carolina,"Abbeville, South Carolina, US",34.22333378,-82.46170658,24527,-60,231,275,-44,-11,-3,-14,5673,14027,110246,453424,1641,34108,590435,6,5,3,3402,5939,5077,2724,19.8,34.6,29.6,15.9,4545,42412,51.8,24.6,11868,12673,14274,6965,7309,5343,2406,2937,591,208,383,229.5,205,80.1,7,6.2,0.313,0.152,0.312,0.714393641,2.432799967,1.230880936,0.670950785,3.475428525,9.045768133,0.95091586,1.708752358,0.74818253,6.101307855,0.743355546,1.351555537,0.680604753,3.779528521,0.434428566,2.123872987,1.549461884,10.2380332,5.063506281,0.3330619,10.31526494,11.29996969,5.415876118,3.745739632,0.091712697,30.86856308,3.567141222,3.880895186,2.789996788,3.514044397,2.770688852,1.655655533,0.955742844,0.376504757,11.63303159,31.14370117,6,128,737,0,5,12,111,216,496,25,13,17.32351901,29.1,15.90472428,36.7,29,-7,-12,-6,10,35,0,0,-8,-7,-14,-13,-7,-6
22001,Acadia,Louisiana,"Acadia, Louisiana, US",30.2950649,-92.41419698,62045,-169,816,690,126,17,-312,-295,15643,66211,501682,2053533,6199,37304,1751382,2,2,0,8911,16807,9640,5458,21.8,41.2,23.6,13.4,15378,40484,94.3,38.8,30342,31848,36625,17917,18708,9491,4146,5345,1141,337,804,260.3,231.8,84.1,9.1,7.8,0.314,0.198,0.32,2.202016834,6.68612384,4.217195875,2.602383531,8.501119533,20.05837152,2.775875766,5.658515984,2.402200182,18.13661137,2.228707947,4.097085866,2.976059114,11.47717865,1.174408978,5.645170428,5.151384835,31.54889572,10.23604189,2.108597938,33.45731031,23.91523737,15.72106564,11.23695863,0.120110009,84.45068196,8.554501759,10.82324638,8.04737061,10.46291635,8.060716166,6.125610464,3.256315802,1.294518987,43.37305884,99.99825536,4,102,617,4,4,20,74,162,401,54,0,21.53408807,35.3,19.77802889,38.4,48,-5,-8,-3,114,262,7,12,-6,-5,-9,-9,-3,-3
51001,Accomack,Virginia,"Accomack, Virginia, US",37.76707161,-75.63234615,32316,-265,384,489,-105,30,-186,-156,13136,43546,295760,1282316,4050,42764,3041457,8,6,3,4419,9155,5645,4376,18.7,38.8,23.9,18.5,5552,42879,73.8,46.7,15817,16595,18118,8886,9232,7638,3474,4164,886,359,527,263.2,231.8,90.3,7.3,6.3,0.377,0.22,0.311,0.981756898,3.710127811,1.815108683,1.210072455,4.406490261,11.46905151,1.381309123,2.370676539,1.179630381,10.71180491,1.286177641,1.754224534,0.928483267,6.160714795,0.719194006,3.809064552,2.610407875,17.03995111,7.998655034,0.365304892,16.16474148,14.1898119,8.363959926,5.125684267,0.125573557,43.96977113,4.958252859,4.440737595,4.025964332,5.076215897,4.41410078,2.587576319,1.377503864,0.749636081,17.08941948,44.71940721,10,63,623,2,9,15,37,179,423,21,41,18.31692932,36.1,15.48057244,36.3,44,-4,-8,-4,33,690,0,9,-7,-4,-14,-8,-7,-4
16001,Ada,Idaho,"Ada, Idaho, US",43.4526575,-116.2415516,481587,12823,4980,3055,1925,26,10815,10841,215983,1122200,12019270,50981403,81943,52958,27409991,2,2,0,14497,68554,102595,112640,4.9,23,34.4,37.8,44434,66827,372.8,151.5,235266,234700,290437,147331,143106,67792,31106,36686,7189,2731,4458,192.6,181.6,73.9,5.8,5.5,0.263,0.055,0.294,6.965602711,29.73776542,17.94982237,11.52003525,61.88670101,213.7904217,12.05585085,27.05868745,8.305141694,84.65886372,9.37677288,34.29219796,11.25212746,43.93687864,6.161879321,21.70053152,34.29219796,184.320564,165.5670183,12.05585085,104.2161329,247.0109884,41.25780067,39.65035389,1.071631186,433.206907,29.20194983,39.91826169,30.00567322,45.81223321,55.45691389,12.85957424,8.305141694,3.750709152,148.4209193,373.7313762,105,860,8135,3,123,81,653,1479,6426,229,82,11.99070066,14.9,17.87623376,25.6,48,-6,-10,-4,521,739,6,21,-7,-6,-11,-10,-4,-4
19001,Adair,Iowa,"Adair, Iowa, US",41.33075609,-94.47105874,7152,78,84,77,7,2,71,73,2968,6739,43614,188457,900,51989,366805,8,7,0,295,2204,1825,790,5.8,43.1,35.7,15.4,667,54282,13.5,6.5,3509,3554,3932,2029,1903,1603,709,894,315,120,195,218.2,193.1,84.8,6.9,6.5,0.329,0.195,0.296,0.219309949,0.71611412,0.35805706,0.17231496,0.561702013,3.685749863,0.19245567,0.485614888,0.239450659,1.391946821,0.214834236,0.380435626,0.196931383,0.794439102,0.069373555,0.490090601,0.443095612,4.301160435,1.908891702,0.264067082,2.859980768,4.836008168,1.429990384,0.740730543,0.033567849,9.900277712,0.760871253,1.181588298,1.040603331,0.781011962,0.89514265,0.606459146,0.322251354,0.093989978,3.464202057,9.146120029,0,5,72,0,0,0,5,28,39,5,1,15.58357139,26.9,19.87272691,31.5,54,-7,-12,-6,1,4,0,0,-9,-7,-14,-13,-7,-6
21001,Adair,Kentucky,"Adair, Kentucky, US",37.10459774,-85.28129668,19202,3,184,216,-32,-1,38,37,5504,13387,90240,369764,1403,31288,372239,7,9,1,2813,5066,3072,2125,21.5,38.7,23.5,16.3,4269,37392,46,21.1,9508,9707,11738,5803,5935,3571,1666,1905,372,126,246,230.9,214.6,77.3,8.3,7.6,0.314,0.208,0.316,0.614927887,2.076994192,1.079348948,0.520323597,2.236101407,6.31268628,0.679430812,1.58677196,0.731033152,4.738814905,0.619228082,1.083649143,0.481621842,2.954233974,0.361216381,1.49216767,1.4663665,12.61677217,4.239992284,0.451520476,8.492885152,8.170370526,3.999181363,2.846729099,0.06020273,23.56936887,2.550015643,3.384253476,2.679021494,2.99293573,2.408109208,1.556670595,0.860039003,0.296713456,11.03430041,27.76205901,0,18,103,0,3,5,10,47,49,6,1,22.6199734,33.1,15.79627347,40.9,27,-5,-7,-2,81,97,13,19,-5,-5,-7,-7,-2,-2
29001,Adair,Missouri,"Adair, Missouri, US",40.19058551,-92.60078167,25343,-133,267,193,74,99,-307,-208,11712,30806,222055,910414,3224,33578,863728,7,8,4,1263,4831,3354,4058,9.4,35.8,24.8,30,5356,40395,45.1,19.9,12194,13145,16929,8120,8809,3755,1689,2066,526,180,346,273.1,236.3,86.6,7,6.3,0.342,0.209,0.302,0.947143795,3.031687345,1.815703608,0.827199821,2.998599352,8.735230114,1.145671753,1.770207618,1.166351748,7.759134324,1.075359768,1.57581566,0.752751837,4.413111047,0.454959902,2.498143461,2.183807528,14.13270895,2.750439406,0.504591891,15.7622926,11.31609356,7.192502447,4.479287033,0.169575963,38.9197516,4.26007908,4.611639004,4.607503005,4.516511025,4.545463018,2.787663398,1.745391623,0.748615838,17.1147643,44.9376303,10,55,702,0,1,2,52,115,572,15,4,20.52884319,31.7,18.92994041,27.9,52,-7,-12,-6,12,34,0,0,-8,-7,-14,-13,-7,-6
40001,Adair,Oklahoma,"Adair, Oklahoma, US",35.88494195,-94.65859267,22194,-30,309,285,24,3,-58,-55,6280,10073,69566,282175,992,28862,436817,6,6,3,2837,6539,3313,1662,19.8,45.6,23.1,11.6,5372,35156,39.6,15.9,11015,11067,12701,6345,6356,3512,1682,1830,336,133,203,206.7,189.1,73.9,6.2,5.8,0.299,0.183,0.338,0.520817868,2.380081657,1.013634776,0.459215755,1.91526571,8.904305493,0.68322344,1.366446881,0.644022095,4.233745253,0.60482075,1.114438235,0.459215755,2.615289727,0.23520807,1.775260907,1.461650147,6.333817304,7.213047469,0.700024017,7.386653425,12.65643422,3.942535262,2.878498757,0.072802498,26.93692417,2.436083578,2.508886076,2.945701063,3.259311822,2.33528012,1.299244575,0.812027859,0.257608838,10.2539518,26.10809573,0,69,333,1,7,1,60,156,157,20,7,27.74440862,25.4,11.77926586,47.7,48,-6,-9,-3,50,82,3,3,-6,-6,-9,-9,-3,-3
8001,Adams,Colorado,"Adams, Colorado, US",39.87432092,-104.3362578,517421,6067,6777,3208,3569,1204,1283,2487,175518,990924,11496335,48226456,59774,43315,26808606,1,1,0,54079,90409,98693,74958,17,28.4,31,23.6,46711,70199,378.2,139.7,258470,253398,322505,165179,157326,53587,24045,29542,5462,2046,3416,285.7,262.5,95.4,7.8,7.1,0.388,0.083,0.295,17.9742691,81.24369632,22.82732175,20.31092408,96.52182506,231.9579427,18.87298255,39.9028774,20.04131004,154.3091002,19.23246793,34.24098263,16.53632757,86.09674898,10.51494742,53.83293595,41.70030431,260.1775452,201.9409133,7.998549749,224.9479778,244.7196738,104.7899888,72.88566119,1.527812873,648.8711144,69.11106468,61.47200031,75.04257348,85.28790687,55.81010555,31.09548554,20.9400235,8.088421094,248.2246562,655.0722373,168,1578,12826,22,274,238,1044,2175,9187,1464,101,16.32460543,19.9,18.91545736,27.8,46,-5,-8,-3,543,2242,23,81,-7,-5,-10,-9,-3,-3
16003,Adams,Idaho,"Adams, Idaho, US",44.89333571,-116.4545247,4294,60,31,27,4,1,56,57,1216,1613,10765,51357,415,37452,142975,9,12,4,318,1154,1009,584,10.4,37.7,32.9,19.1,554,45311,2.9,1.9,2211,2039,2275,1142,1133,1221,656,565,100,40,60,192.6,181.6,73.9,5.8,5.5,0.263,0.055,0.294,0.06299139,0.26892478,0.162323966,0.104178068,0.559654271,1.933351119,0.109023559,0.244697322,0.075105119,0.765587661,0.084796102,0.310111458,0.101755322,0.397330305,0.055723153,0.196242407,0.310111458,1.666849085,1.497256882,0.109023559,0.942448102,2.233771594,0.373102848,0.358566373,0.009690983,3.917579899,0.264079288,0.360989119,0.271347525,0.414289526,0.501508373,0.116291797,0.075105119,0.033918441,1.342201153,3.37973034,0,1,16,0,0,0,1,3,13,0,0,14.35193203,21.2,13.6502569,30.5,31,-7,-12,-6,3,3,0,0,-7,-7,-14,-13,-7,-6
